,Id,title,group,categories,totalreviews,avgrating
0,1,Patterns of Preaching: A Sermon Sampler,Book,2,2,5.0
1,2,Candlemas: Feast of Flames,Book,2,12,4.5
2,3,World War II Allied Fighter Planes Trading Cards,Book,1,1,5.0
3,4,Life Application Bible Commentary: 1 and 2 Timothy and Titus,Book,5,1,4.0
4,5,Prayers That Avail Much for Business: Executive,Book,2,0,0.0
5,6,How the Other Half Lives: Studies Among the Tenements of New York,Book,5,17,4.0
6,7,Batik,Music,3,3,4.5
7,8,Losing Matt Shepard,Book,4,15,4.5
8,9,Making Bread: The Taste of Traditional Home-Baking,Book,1,0,0.0
9,10,The Edward Said Reader,Book,3,6,4.0
10,11,Resetting the Clock : Five Anti-Aging Hormones That Improve and Extend Life,Book,4,1,5.0
11,12,Fantastic Food with Splenda : 160 Great Recipes for Meals Low in Sugar  Carbohydrates  Fat  and Calories,Book,9,12,4.5
12,13,Clockwork Worlds : Mechanized Environments in SF (Contributions to the Study of Science Fiction and Fantasy),Book,3,0,0.0
13,14,Later...,Music,2,0,0.0
14,15,Wake Up and Smell the Coffee,Book,3,8,4.0
15,16,War at Sea: A Naval History of World War II,Book,3,10,4.5
16,17,Telecommunications Cost Management,Book,7,3,3.5
17,18,Sol to Soul,Music,1,15,5.0
18,19,Ultimate Marvel Team-Up,Book,4,8,3.5
19,20,Computed Tomography : Fundamentals  System Technology  Image Quality  Applications,Book,3,1,5.0
20,21,The Time Machine,DVD,26,140,4.5
21,22,Come What May,Music,5,4,4.5
22,23,Strange Fire: A Novel,Book,3,3,3.0
23,24,The Casebook of Sherlock Holmes  Volume 2 (Casebook of Sherlock Holmes),Book,9,2,4.5
24,25,Jailed for Freedom: American Women Win the Vote,Book,2,2,3.5
25,26,Chicken Little,Book,3,1,4.0
26,27,The Columbia Anthology of Gay Literature,Book,3,2,3.0
27,28,God Knows Marriage Isn't Always Easy: 12 Ways to Add Zest (God Knows),Book,2,0,0.0
28,29,Advanced Pediatric Clinical Assessment: Skills and Procedures,Book,5,0,0.0
29,30,Solving Statics Problems with MathCAD,Book,4,0,0.0
30,31,Backroad Buffets & Country Cafes: A Southern Guide to Meat-And-Threes & Down-Home Dining,Book,8,2,5.0
31,32,Staff Meals from Chanterelle,Book,5,11,4.5
32,33,Double Jeopardy (T*Witches  6),Book,6,4,5.0
33,34,Southern By the Grace of God: Lynyrd Skynyrd Tribute Tour  Vol. 1,Music,5,6,4.0
34,35,Burnt Toast on Davenport Street,Book,5,5,4.5
35,36,Uists & Barra (Pevensey Island guides),Book,4,0,0.0
36,37,Mark Messier - Leader  Champion & Legend,DVD,4,7,3.5
37,38,Resolving Conflicts At Work : A Complete Guide for Everyone on the Job,Book,7,3,4.5
38,39,Night of Many Dreams : A Novel,Book,2,22,3.5
39,40,Renovations: A Father and Son Rebuild a House and Rediscover Each Other,Book,3,8,5.0
40,41,Workbook: The Long-Term Care Nursing Assistant,Book,3,0,0.0
41,42,Pixote,DVD,15,24,4.5
42,43,Selected Poems (Dover Thrift Editions),Book,7,2,4.5
43,44,The NBA's 100 Greatest Plays,DVD,5,13,4.0
44,45,Beginning ASP.NET Databases using C#,Book,6,4,4.0
45,46,Alternative Worlds in Fantasy Fiction (Contemporary Classics of Children's Literature),Book,8,0,0.0
46,47,How to Kill a Monster (Goosebumps),Book,5,10,5.0
47,48,Scooby-doo Mysteries #24 (Scooby-Doo Mysteries),Book,7,0,0.0
48,49,Murder She Wrote,Music,0,0,0.0
49,50,Still Life,Music,1,1,5.0
50,51,Out on the Edge: A Wake-Up Call for Church Leaders on the Edge of the Media Reformation,Book,3,7,4.0
51,52,Secrets of Gypsy Love Magick (Llewellyn's New Age Series),Book,5,6,4.5
52,53,Baby Boomer Retirement: 65 Simple Ways to Protect Your Future,Book,7,1,5.0
53,54,Betsy & Tacy Go over the Big Hill (Betsy and Tacy Books),Book,4,4,5.0
54,55,Goldilocks and the Three Bears : Full-Color Picture Book (Dover Little Activity Books),Book,2,1,4.0
55,56,Three Bricks Shy of a Load: A Collection of True Stories About Ordinary People Doing Really Dumb Stuff!,Book,2,0,0.0
56,57,Investigating Computer Crime: A Primer for Security Managers,Book,5,1,1.0
57,58,Raptors of the Rockies: Biology of the Birds of Prey and Species Accounts of the Raptors of the Rockies,Book,5,0,0.0
58,59,None But the Lonely Heart,Video,14,5,4.0
59,60,Renaissance Music: Music in Western Europe  1400-1600 (Norton Introduction to Music History),Book,4,2,5.0
60,61,Hermanos (Hablemos),Book,3,0,0.0
61,62,Scoring High on the Stanford Achievement Test,Book,1,0,0.0
